scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
scattering,2band_blue,0.5,2.1714285714285713,1.0,0.08005692835596719,True,0,0.0,0.0,False,0,0.012149261741059845,0.9199430716440328,4.411475804598232,0.0,3.8751068117171665,0.0,3.6653542281880807,0.0,3.5640570782685232,0.0,3.592194018094993,0.0,3.5648831659587366,0.0
scattering,2band_blue,0.5,2.3785714285714286,1.0,0.07682401539698988,True,0,0.0,0.0,False,0,0.009342150555290151,0.9231759846030101,4.433322281418246,0.0,3.908027313711008,0.0,3.7070382021555512,0.0,3.609813181684903,0.0,3.6393409654662046,0.0,3.613021721311322,0.0
scattering,2band_blue,0.5,2.585714285714286,1.0,0.07209800394704578,True,0,0.0,0.0,False,0,0.006781503054861985,0.9279019960529542,4.43026053256592,0.021132528861157258,3.9281110979290847,0.0,3.7353189917925604,0.0,3.648517747470722,0.0,3.6844071580222124,0.0,3.655899134289296,0.0
scattering,2band_blue,0.5,2.7928571428571427,1.0,0.0657928493068758,True,0,0.0,0.0,True,1,0.004579710291928256,1.100873817359791,4.397004788031554,0.25442136877001115,3.9288319217560157,0.012131151644381347,3.7442263499429074,0.0,3.6796687257970966,0.0,3.7177874321337683,0.0,3.693423148496854,0.0
scattering,2band_blue,0.5,3.0,1.0,0.05599244978948656,True,1,2.239609365902949,-1.1632471184344328,True,2,0.0028258046979603804,1.7013018201341417,4.3087636646259835,0.4933480512683366,3.900880635633995,0.2202830809601621,3.7363854116066406,0.09153156229272466,3.692675853660496,0.0,3.742872840632515,0.0,3.72079118573463,0.0
scattering,2band_blue,0.6919711120500416,0.1,1.0,0.0811032818395313,True,0,0.0,0.0,False,0,0.041339153381936104,0.9188967181604687,5.4356808220028885,0.0,4.760764195949503,0.0,4.502866862232439,0.0,4.379183344561378,0.0,4.416077573959109,0.0,4.380431903647248,0.0
scattering,2band_blue,0.6919711120500416,0.30714285714285716,1.0,0.08139647242698812,True,0,0.0,0.0,False,0,0.038527841385944,0.9186035275730119,5.497832347037678,0.0,4.8131366592148135,0.0,4.551178402293531,0.0,4.426137473181022,0.0,4.463446899783972,0.0,4.427151323052952,0.0
scattering,2band_blue,0.6919711120500416,0.5142857142857142,1.0,0.08162818262384663,True,0,0.0,0.0,False,0,0.03569077482448076,0.9183718173761534,5.560983943670914,0.0,4.868563159965554,0.0,4.602879774768994,0.0,4.474932407620522,0.0,4.5102862041771505,0.0,4.475946158311702,0.0
scattering,2band_blue,0.6919711120500416,0.7214285714285714,1.0,0.0817951974866128,True,0,0.0,0.0,False,0,0.03282637111343998,0.9182048025133872,5.625627528096918,0.0,4.924917923116173,0.0,4.655947410484662,0.0,4.524319758260284,0.0,4.56125230540201,0.0,4.525981694189881,0.0
scattering,2band_blue,0.6919711120500416,0.9285714285714285,1.0,0.08191562565798177,True,0,0.0,0.0,False,0,0.029933057442824002,0.9180843743420182,5.692507120954568,0.0,4.982651128065588,0.0,4.710074765175302,0.0,4.576652539043977,0.0,4.614966390864056,0.0,4.577716468687785,0.0
